Instruction 1,Instruction 2,Conflict Type
"ADD R4, R0, 4","SUB R4, R0, 14",WAW
"MUL R7, R0, 36","XOR R7, R7, R2",RAW
"ADD R0, R0, 15","LOAD R0, R0, 3",WAW
"AND R11, R1, R2","STORE R8, R3, 10",No_CONFLICT
"OR R4, R1, R2","STORE R11, R4, R3",WAR
"XOR R14, R1, R2","DIV R14, R3, 10",No_CONFLICT
"OR R15, R0, 43","SUB R15, R0, 4",WAW
"SUB R6, R0, 2","XOR R11, R6, R2",RAW
"SHIFT R3, R0, 43","MUL R6, R3, R2",RAW
"LOAD R13, R1, R2","OR R3, R13, R3",WAR
"SHIFT R10, R1, R2","XOR R8, R3, 10",No_CONFLICT
"STORE R13, R1, R2","AND R0, R13, R3",WAR
"STORE R11, R1, R2","LOAD R2, R3, 10",No_CONFLICT
"LOAD R8, R1, R2","SUB R15, R3, 10",No_CONFLICT
"LOAD R0, R0, 27","DIV R13, R0, R2",RAW
"SHIFT R1, R0, 41","MUL R1, R0, 9",WAW
"XOR R7, R1, R2","MUL R11, R3, 10",No_CONFLICT
"OR R8, R1, R2","XOR R5, R8, R3",WAR
"OR R15, R1, R2","ADD R11, R15, R3",WAR
"SHIFT R3, R1, R2","XOR R6, R3, 10",No_CONFLICT
"STORE R14, R0, 37","XOR R14, R0, 5",WAW
"DIV R5, R1, R2","SUB R11, R3, 10",No_CONFLICT
"MUL R0, R1, R2","SUB R3, R0, R3",WAR
"STORE R1, R1, R2","MUL R5, R3, 10",No_CONFLICT
"AND R4, R1, R2","SUB R3, R3, 10",No_CONFLICT
"SUB R10, R0, 13","OR R10, R10, R2",RAW
"STORE R10, R0, 10","DIV R10, R0, 32",WAW
"SUB R11, R1, R2","LOAD R15, R11, R3",WAR
"LOAD R14, R1, R2","AND R6, R14, R3",WAR
"STORE R0, R0, 46","SUB R6, R0, R2",RAW
"SUB R6, R0, 43","XOR R6, R0, 27",WAW
"STORE R12, R0, 18","MUL R12, R0, 47",WAW
"STORE R4, R1, R2","DIV R7, R3, 10",No_CONFLICT
"STORE R0, R0, 20","SHIFT R13, R0, R2",RAW
"STORE R15, R1, R2","XOR R13, R15, R3",WAR
"ADD R9, R1, R2","STORE R1, R3, 10",No_CONFLICT
"XOR R3, R1, R2","DIV R12, R3, R3",WAR
"LOAD R12, R0, 30","DIV R7, R12, R2",RAW
"SUB R14, R1, R2","OR R0, R3, 10",No_CONFLICT
"STORE R6, R0, 30","LOAD R6, R6, R2",RAW
"ADD R14, R0, 36","DIV R14, R0, 40",WAW
"LOAD R9, R1, R2","DIV R1, R3, 10",No_CONFLICT
"LOAD R14, R0, 27","STORE R14, R0, 27",WAW
"ADD R3, R1, R2","LOAD R7, R3, 10",No_CONFLICT
"MUL R0, R0, 38","STORE R0, R0, 48",WAW
"SHIFT R3, R0, 15","STORE R3, R0, 32",WAW
"STORE R11, R1, R2","ADD R5, R11, R3",WAR
"SUB R15, R1, R2","SUB R0, R3, 10",No_CONFLICT
"LOAD R10, R0, 39","LOAD R10, R0, 28",WAW
"DIV R14, R0, 9","ADD R14, R0, 36",WAW
"AND R0, R0, 31","OR R0, R0, 48",WAW
"AND R14, R0, 3","AND R8, R14, R2",RAW
"MUL R1, R1, R2","LOAD R11, R1, R3",WAR
"LOAD R11, R1, R2","AND R7, R3, 10",No_CONFLICT
"ADD R10, R1, R2","ADD R13, R10, R3",WAR
"DIV R3, R0, 20","STORE R15, R3, R2",RAW
"AND R2, R1, R2","MUL R1, R2, R3",WAR
"DIV R12, R0, 32","SHIFT R12, R0, 50",WAW
"AND R0, R0, 42","XOR R7, R0, R2",RAW
"SHIFT R4, R1, R2","OR R7, R3, 10",No_CONFLICT
"STORE R3, R0, 32","MUL R3, R0, 35",WAW
"ADD R2, R1, R2","AND R6, R2, R3",WAR
"SHIFT R13, R1, R2","SUB R0, R13, R3",WAR
"STORE R14, R0, 6","XOR R14, R0, 21",WAW
"SHIFT R5, R1, R2","DIV R12, R3, 10",No_CONFLICT
"AND R6, R1, R2","LOAD R1, R6, R3",WAR
"MUL R8, R0, 28","STORE R8, R0, 31",WAW
"OR R5, R0, 3","LOAD R4, R5, R2",RAW
"STORE R9, R0, 50","XOR R9, R0, 2",WAW
"XOR R11, R1, R2","SHIFT R14, R11, R3",WAR
"DIV R0, R0, 29","STORE R0, R0, 3",WAW
"STORE R11, R1, R2","AND R12, R11, R3",WAR
"DIV R14, R0, 33","AND R3, R14, R2",RAW
"OR R10, R1, R2","DIV R15, R10, R3",WAR
"LOAD R8, R1, R2","XOR R15, R3, 10",No_CONFLICT
"SHIFT R10, R1, R2","LOAD R13, R3, 10",No_CONFLICT
"OR R13, R1, R2","DIV R8, R13, R3",WAR
"MUL R13, R0, 14","MUL R13, R0, 26",WAW
"MUL R2, R1, R2","DIV R14, R2, R3",WAR
"DIV R6, R0, 19","ADD R14, R6, R2",RAW
"DIV R13, R1, R2","LOAD R14, R13, R3",WAR
"OR R15, R1, R2","DIV R2, R3, 10",No_CONFLICT
"AND R9, R0, 30","DIV R9, R0, 41",WAW
"DIV R5, R0, 29","AND R5, R0, 15",WAW
"ADD R9, R0, 12","LOAD R9, R0, 36",WAW
"SUB R11, R1, R2","MUL R6, R3, 10",No_CONFLICT
"SHIFT R3, R0, 28","SUB R3, R0, 32",WAW
"ADD R14, R1, R2","ADD R8, R3, 10",No_CONFLICT
"LOAD R14, R0, 7","LOAD R9, R14, R2",RAW
"ADD R14, R0, 26","OR R14, R0, 3",WAW
"DIV R5, R1, R2","LOAD R2, R5, R3",WAR
"LOAD R0, R0, 32","LOAD R0, R0, R2",RAW
"ADD R3, R1, R2","STORE R8, R3, 10",No_CONFLICT
"OR R8, R1, R2","OR R1, R8, R3",WAR
"MUL R5, R0, 10","MUL R12, R5, R2",RAW
"LOAD R4, R0, 35","ADD R8, R4, R2",RAW
"AND R4, R1, R2","DIV R6, R4, R3",WAR
"SHIFT R7, R1, R2","ADD R12, R7, R3",WAR
"OR R0, R1, R2","MUL R6, R3, 10",No_CONFLICT
"SHIFT R9, R1, R2","XOR R2, R9, R3",WAR
"STORE R7, R1, R2","XOR R14, R7, R3",WAR
"ADD R5, R1, R2","SUB R4, R3, 10",No_CONFLICT
"ADD R1, R1, R2","OR R10, R1, R3",WAR
"DIV R0, R0, 28","LOAD R10, R0, R2",RAW
"XOR R14, R1, R2","MUL R11, R3, 10",No_CONFLICT
"AND R5, R0, 7","XOR R5, R5, R2",RAW
"DIV R9, R0, 15","MUL R9, R0, 22",WAW
"MUL R6, R0, 46","ADD R13, R6, R2",RAW
"STORE R4, R0, 12","SHIFT R4, R0, 9",WAW
"MUL R2, R0, 34","ADD R2, R0, 39",WAW
"OR R2, R1, R2","SUB R10, R3, 10",No_CONFLICT
"AND R5, R0, 28","DIV R3, R5, R2",RAW
"DIV R7, R1, R2","SHIFT R15, R3, 10",No_CONFLICT
"ADD R6, R1, R2","MUL R7, R6, R3",WAR
"SHIFT R0, R1, R2","SUB R7, R3, 10",No_CONFLICT
"SUB R11, R1, R2","MUL R5, R3, 10",No_CONFLICT
"AND R12, R0, 26","ADD R12, R0, 23",WAW
"ADD R4, R0, 36","LOAD R9, R4, R2",RAW
"DIV R6, R1, R2","OR R1, R3, 10",No_CONFLICT
"STORE R5, R1, R2","SHIFT R13, R5, R3",WAR
"OR R7, R0, 27","AND R7, R0, 44",WAW
"STORE R5, R1, R2","STORE R14, R3, 10",No_CONFLICT
"SHIFT R3, R0, 47","LOAD R13, R3, R2",RAW
"DIV R4, R0, 33","SUB R4, R0, 17",WAW
"MUL R15, R1, R2","MUL R0, R15, R3",WAR
"MUL R10, R0, 34","SHIFT R6, R10, R2",RAW
"XOR R11, R1, R2","XOR R8, R11, R3",WAR
"XOR R6, R0, 12","LOAD R6, R0, 30",WAW
"ADD R15, R1, R2","MUL R10, R15, R3",WAR
"SHIFT R14, R0, 21","SHIFT R14, R0, 16",WAW
"ADD R7, R0, 34","ADD R14, R7, R2",RAW
"XOR R6, R1, R2","LOAD R7, R3, 10",No_CONFLICT
"DIV R2, R1, R2","XOR R3, R3, 10",No_CONFLICT
"DIV R10, R0, 34","SUB R10, R0, 41",WAW
"LOAD R11, R0, 32","MUL R2, R11, R2",RAW
"STORE R13, R1, R2","ADD R6, R3, 10",No_CONFLICT
"MUL R2, R1, R2","SUB R1, R2, R3",WAR
"SHIFT R4, R0, 14","OR R4, R0, 43",WAW
"DIV R1, R1, R2","DIV R15, R3, 10",No_CONFLICT
"MUL R7, R1, R2","OR R0, R7, R3",WAR
"MUL R4, R0, 17","AND R4, R0, 46",WAW
"STORE R12, R1, R2","DIV R9, R3, 10",No_CONFLICT
"LOAD R12, R0, 27","STORE R11, R12, R2",RAW
"DIV R10, R1, R2","MUL R11, R10, R3",WAR
"SUB R0, R0, 44","SHIFT R0, R0, 40",WAW
"ADD R9, R0, 23","OR R4, R9, R2",RAW
"XOR R9, R1, R2","SHIFT R0, R3, 10",No_CONFLICT
"LOAD R2, R1, R2","AND R1, R2, R3",WAR
"AND R14, R0, 33","XOR R14, R0, 37",WAW
"MUL R10, R0, 18","AND R5, R10, R2",RAW
"SUB R15, R1, R2","SUB R12, R3, 10",No_CONFLICT
"SUB R11, R1, R2","STORE R0, R3, 10",No_CONFLICT
"AND R1, R1, R2","SHIFT R9, R3, 10",No_CONFLICT
"AND R5, R1, R2","OR R9, R5, R3",WAR
"AND R5, R0, 48","LOAD R5, R0, 33",WAW
"MUL R5, R1, R2","MUL R15, R5, R3",WAR
"AND R5, R0, 19","DIV R10, R5, R2",RAW
"ADD R3, R1, R2","OR R12, R3, 10",No_CONFLICT
"DIV R9, R1, R2","XOR R1, R9, R3",WAR
"LOAD R11, R1, R2","XOR R6, R11, R3",WAR
"SHIFT R2, R1, R2","ADD R8, R2, R3",WAR
"AND R13, R1, R2","LOAD R7, R3, 10",No_CONFLICT
"STORE R14, R0, 11","STORE R1, R14, R2",RAW
"OR R3, R0, 37","STORE R3, R0, 2",WAW
"LOAD R13, R0, 20","MUL R8, R13, R2",RAW
"SHIFT R9, R0, 44","ADD R9, R9, R2",RAW
"OR R8, R0, 23","LOAD R15, R8, R2",RAW
"SUB R3, R1, R2","SHIFT R4, R3, R3",WAR
"SHIFT R14, R0, 42","SHIFT R5, R14, R2",RAW
"ADD R11, R0, 44","XOR R11, R11, R2",RAW
"AND R8, R1, R2","SUB R6, R3, 10",No_CONFLICT
"SHIFT R10, R1, R2","XOR R15, R10, R3",WAR
"MUL R6, R0, 27","STORE R14, R6, R2",RAW
